title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
Johnny English Strikes Again,2018,2018-09-13,"['Action', 'Adventure', 'Comedy']",89,"Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain. The secret service can now rely on only one man - Johnny English. Currently teaching at a minor prep school, Johnny springs back into action to find the mysterious hacker. For this mission to succeed, he’ll need all of his skills - what few he has - as the man with yesterday’s analogue methods faces off against tomorrow’s digital technology.",David Kerr,William Davies,"Rowan Atkinson, Olga Kurylenko, Ben Miller",25000000,158972570,"spy, parody, sequel, slapstick comedy",Working Title Films,3.4298,False
Peppermint,2018,2018-09-06,"['Action', 'Thriller']",102,"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",Pierre Morel,Chad St. John,"Jennifer Garner, John Gallagher Jr., John Ortiz",25000000,53918723,"coma, widow, cemetery, handcuffs, fbi, bus, grave, alcoholism, flashback, revenge, murder, vigilante, drug cartel, police corruption, hospital, torture, skid row, corrupt official, loss of child, corrupt judge, driveby shooting",STXfilms,3.3705,False
Samson,2018,2018-02-16,"['Action', 'Drama', 'Adventure']",110,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",Bruce Macdonald,"Jason Baumgardner, Zach Smith, Galen Gilbert, Timothy Ratajczak","Taylor James, Jackson Rathbone, Billy Zane",3500000,4900000,"bible, god, strength, christian film",Pure Flix Entertainment,3.3517,False
A Wrinkle in Time,2018,2018-03-08,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",109,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",Ava DuVernay,"Jennifer Lee, Jeff Stockwell","Storm Reid, Oprah Winfrey, Reese Witherspoon",103000000,132675864,"based on novel or book, child prodigy, remake, family, woman director, mixed race",Whitaker Entertainment,3.4296,False
The Strangers: Prey at Night,2018,2018-03-07,"['Horror', 'Thriller']",86,"A family's road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family's every limit as they struggle to survive.",Johannes Roberts,"Bryan Bertino, Ben Ketai","Bailee Madison, Christina Hendricks, Martin Henderson",12500000,31039126,"road trip, swimming pool, sequel, murder, serial killer, slasher, home invasion, cross country, stranger, mysterious stranger, handgun, mobile home, brother sister relationship, masked",Aviron Pictures,3.2741,False
The Hate U Give,2018,2018-10-19,"['Crime', 'Drama']",133,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",George Tillman Jr.,Audrey Wells,"Amandla Stenberg, Regina Hall, Russell Hornsby",23000000,34934009,"high school, based on novel or book, trauma, protest, riot, teenage girl, racism, police officer, blunt, preparatory school, racial profiling, generation z, based on young adult novel",Temple Hill Entertainment,3.2974,False
Mary Magdalene,2018,2018-03-15,['Drama'],120,"In the first century, free-spirited Mary Magdalene flees the marriage her family has arranged for her, finding refuge and a sense of purpose in a radical new movement led by the charismatic, rabble-rousing preacher named Jesus.",Garth Davis,"Helen Edmundson, Philippa Goslett","Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor",20000000,11710110,"christianity, jerusalem, bible, mary magdalene, 1st century, jesus christ, christian film",Focus Features,3.2929,False
Slender Man,2018,2018-05-17,"['Horror', 'Mystery', 'Thriller']",93,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",Sylvain White,David Birke,"Javier Botet, Joey King, Julia Goldani Telles",10000000,11817275,"small town, massachusetts, supernatural, forest, urban legend, fear, slender man, disgusted",Madhouse Entertainment,3.2353,False
Braven,2018,2018-02-01,"['Drama', 'Action', 'Thriller']",94,A logger defends his family from a group of dangerous drug runners.,Lin Oeding,"Thomas Pa'a Sibbett, Michael Nilon","Jason Momoa, Stephen Lang, Garret Dillahunt",5000000,854319,"drug dealer, cocaine, log cabin",Pride of Gypsies,3.1583,False
Mary Queen of Scots,2018,2018-12-07,"['Drama', 'History']",124,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, conspiracies and their own life choices imperil both Queens. They experience the bitter cost of power, until their tragic fate is finally fulfilled.",Josie Rourke,Beau Willimon,"Saoirse Ronan, Margot Robbie, Jack Lowden",25000000,46712809,"based on novel or book, scotland, cousin, royal family, biography, queen elizabeth i, tudor, female prisoner, burlesque, cousin cousin relationship, woman director, 16th century, british monarchy, house of stuart, apathetic",Focus Features,3.163,False
Widows,2018,2018-11-06,"['Crime', 'Thriller', 'Drama']",129,"A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.",Steve McQueen,"Gillian Flynn, Steve McQueen","Viola Davis, Michelle Rodriguez, Elizabeth Debicki",42000000,73900000,"chicago, illinois, politics, politician, heist, flashback, remake, money, betrayal, mob boss",20th Century Fox,3.1324,False
Replicas,2018,2018-10-25,"['Science Fiction', 'Thriller', 'Drama']",107,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,Jeffrey Nachmanoff,Chad St. John,"Keanu Reeves, Alice Eve, Thomas Middleditch",30000000,8100000,"laboratory, car accident, family, consciousness, biologist, human cloning, synthetic, neuro-scientist, police task force",di Bonaventura Pictures,3.0827,False
Operation Red Sea,2018,2018-02-16,"['Action', 'Thriller', 'War', 'Adventure']",138,"A squad of the Jiaolong Commando Unit - Sea Dragon, a spec ops team of the Chinese Navy, carries out a hostage rescue operation in the nation of Yewaire, on the Arabian Peninsula, and fiercely fights against local rebel groups and Zaka, a terrorist organization.",Dante Lam Chiu-Yin,"Eric Lin Ming-Chie, Dante Lam Chiu-Yin, Chen Zhuzhu, Feng Ji","Zhang Yi, Johnny Huang, Hai Qing",70000000,579330426,"red sea, historical fiction, desert, hostage situation, tank battle, uranium, peoples army, naval battleship",Bona Film Group,3.0858,False
Bad Times at the El Royale,2018,2018-10-04,"['Thriller', 'Mystery', 'Crime', 'Drama']",141,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.",Drew Goddard,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Lewis Pullman",32000000,31882724,"vietnam war, post-traumatic stress disorder (ptsd), casino, hippie, audio tape, motel, jukebox, concierge, richard nixon, payphone, storm, vacuum cleaner, slot machine, ruse, motel room, neo-noir, 1960s, lake tahoe, ridiculous",20th Century Fox,3.0623,False
Padmaavat,2018,2018-01-25,"['Drama', 'History', 'Romance']",163,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Prakash R. Kapadia","Deepika Padukone, Ranveer Singh, Shahid Kapoor",31000000,81673897,"epic, husband wife relationship, obsession, queen, delhi, india, afghanistan, sultan, musical, romance, honor, king, battle, period drama, fortress, based on song, poem or rhyme, medieval, mongol, history of india, 13th century, ancient india, mewar, india, bollywood",Bhansali Productions,3.1103,False
The Possession of Hannah Grace,2018,2018-11-29,"['Horror', 'Drama']",86,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",Diederik Van Rooijen,Brian Sieve,"Shay Mitchell, Kirby Johnson, Grey Damon",9500000,43000000,"rehabilitation, morgue, cop, drug rehabilitation, hospital, corpse, police officer, entity, graveyard shift",Screen Gems,2.9773,False
Once Upon a Deadpool,2018,2018-12-11,"['Comedy', 'Action', 'Adventure']",118,"A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2, as a Princess Bride-esque story that's full of magic, wonder, and zero Fs.",David Leitch,"Rhett Reese, Paul Wernick, Ryan Reynolds","Ryan Reynolds, Josh Brolin, Morena Baccarin",110000000,51349833,"superhero, based on comic, christmas",20th Century Fox,2.9987,False
I Feel Pretty,2018,2018-04-19,"['Comedy', 'Romance']",110,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.,"Abby Kohn, Marc Silverstein","Abby Kohn, Marc Silverstein","Amy Schumer, Michelle Williams, Tom Hopper",32000000,94539426,"confidence, delusion, head injury, cosmetics",Wonderland Sound and Vision,2.9721,False
"Paul, Apostle of Christ",2018,2018-03-23,['Drama'],108,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",Andrew Hyatt,"Andrew Hyatt, Terence Berden","Jim Caviezel, James Faulkner, Olivier Martinez",5000000,25915966,"prison, roman empire, christianity, apostle, bible, burned alive, nero, 1st century, christian film, antiquity, christian faith",Outside Da Box,2.9691,False
Every Day,2018,2018-02-22,"['Romance', 'Fantasy']",97,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",Michael Sucsy,Jesse Andrews,"Angourie Rice, Justice Smith, Debby Ryan",4900000,10400000,"based on novel or book, transformation, body switch, based on young adult novel",FilmWave,2.94,False
The Commuter,2018,2018-01-11,"['Action', 'Thriller', 'Mystery']",104,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",Jaume Collet-Serra,"Byron Willinger, Philip de Blasi, Ryan Engle","Liam Neeson, Patrick Wilson, Sam Neill",30000000,119942387,"conspiracy, train",StudioCanal,2.9204,False
SuperFly,2018,2018-06-13,"['Action', 'Crime']",107,"Career criminal Youngblood Priest wants out of the Atlanta drug scene, but as he ramps up sales, one little slip up threatens to bring the whole operation down before he can make his exit.",Director X.,Alex Tse,"Trevor Jackson, Jason Mitchell, Michael Kenneth Williams",16000000,20545116,"corruption, police, gambling, nightclub, arrest, money, biting, cynical, driving, revolver, aggressive, malicious, cautionary, dramatic, suspenseful, tense, antagonistic, bold, callous",Columbia Pictures,2.9254,False
The Girl in the Spider's Web,2018,2018-10-25,"['Action', 'Crime', 'Thriller']",115,"After being enlisted to recover a dangerous computer program, hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",Fede Álvarez,"Jay Basu, Fede Álvarez, Steven Knight","Claire Foy, Sverrir Gudnason, LaKeith Stanfield",43000000,35164920,"hacker, based on novel or book, sweden, stockholm, sweden, sequel, computer expert, millennium, computer programmer, gifted children, father daughter relationship, sister sister relationship",Columbia Pictures,2.85,False
Andhadhun,2018,2018-10-05,"['Crime', 'Mystery', 'Thriller', 'Comedy']",139,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,Sriram Raghavan,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte",4500000,40000000,"pianist, witness to a crime, blind man, piano, bollywood",Viacom18 Studios,2.8301,False
Early Man,2018,2018-01-26,"['Family', 'Comedy', 'Animation', 'Adventure']",89,"Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport.",Nick Park,"Mark Burton, James Higginson","Eddie Redmayne, Tom Hiddleston, Maisie Williams",50000000,53431158,"sports, stone age, mining, stop motion, prehistory, cavemen, claymation, plasticine, football (soccer) match, bronze age",Aardman,2.7702,False
The Monkey King 3,2018,2018-02-16,"['Adventure', 'Fantasy', 'Action', 'Family']",114,"The third installment of the blockbuster fantasy series sees the return of the Monkey King in his most action-packed adventure yet! While continuing their epic journey to the West, the Monkey King and his companions are taken captive by the Queen of an all-female land, who believes them to be part of an ancient prophecy heralding the fall of her kingdom. With a lot of sorcery and a little bit of charm, the travelers devise a plan to escape. But when their trickery angers the mighty River God, they realize they might just bring about the foretold destruction - unless they can find a way to quell her wrath.",Soi Cheang,Wen Ning,"Aaron Kwok, William Feng, Zhao Liying",87000000,115089944,"monk, sorcery, sequel, destruction, wrath, trapped, ancient prophecy, foretold",Filmko Films Production Limited,2.7496,False
Uncle Drew,2018,2018-06-27,['Comedy'],103,Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,Charles Stone III,Jay Longino,"Kyrie Irving, Lil Rel Howery, Shaquille O'Neal",19000000,17700000,"comeback, basketball, road trip, streetball, tournament, prize money, financial problem, harlem, new york city, septuagenarian",Lionsgate,2.7576,False
Kickboxer: Retaliation,2018,2018-01-26,"['Action', 'Drama']",110,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom.",Dimitri Logothetis,"Jim McGrath, Dimitri Logothetis","Alain Moussi, Christopher Lambert, Jean-Claude Van Damme",13000000,4537,,Our House Films,2.7684,False
White Boy Rick,2018,2018-09-14,"['Crime', 'Drama']",111,"The story of Richard Wershe Jr., a teenager who became an undercover informant for the police during the 1980s, and was ultimately arrested for drug trafficking and sentenced to life in prison.",Yann Demange,"Noah Miller, Logan Miller, Andy Weiss","Richie Merritt, Matthew McConaughey, Jennifer Jason Leigh",29000000,26000000,"war on drugs, drug trafficking, fbi, based on true story, informant, detroit, michigan, 1980s",Studio 8,2.711,False
Kin,2018,2018-08-29,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",102,"A young boy finds a powerful otherworldly weapon, which he uses to save his older adoptive brother from a crew of thugs. Before long, the two of them are also pursued by federal agents and mysterious mercenaries aiming to reclaim their asset.","Jonathan Baker, Josh Baker","Daniel Casey, Jonathan Baker, Josh Baker","Myles Truitt, Jack Reynor, Dennis Quaid",30000000,10023153,"brother, high technology, strip club, parole, detroit, michigan",21 Laps Entertainment,2.6481,False
I Can Only Imagine,2018,2018-02-14,"['Music', 'Drama']",110,"10-year-old Bart Millard lives with his mother and abusive father Arthur in Texas. One day his mother drops him off at a Christian camp where he meets Shannon. Upon his return from camp, Bart finds his mother has left and movers are removing her belongings. He angrily confronts his father, who denies that his abusiveness was the reason she left. Years later, in high school, Bart and Shannon are dating. Bart plays football to please his father but is injured, breaking both ankles and ending his career. The only elective with openings is music class, so he reluctantly signs up.","Andrew Erwin, Jon Erwin","Brent McCorkle, Jon Erwin","J. Michael Finley, Dennis Quaid, Cloris Leachman",7000000,86026201,,Kevin Downes Productions,2.6485,False
Roma,2018,2018-11-21,['Drama'],135,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.",Alfonso Cuarón,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",15000000,1140769,"mexico city, mexico, 1970s, middle class, family relationships, black and white, maid, autobiographical, master servant relationship, domestic worker",Participant,2.6499,False
Adrift,2018,2018-05-31,"['Thriller', 'Romance', 'Adventure']",96,"Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.",Baltasar Kormákur,"Jordan Kandell, Aaron Kandell, David Branson Smith","Shailene Woodley, Sam Claflin, Jeffrey Thomas",35000000,59945012,"sailboat, marriage proposal, boat, hurricane, sailing, vegetarian, based on true story, tahiti, survival, couple",STXfilms,2.6304,False
Smallfoot,2018,2018-09-20,"['Family', 'Animation', 'Adventure', 'Fantasy', 'Comedy']",96,A bright young yeti finds something he thought didn't exist—a human. News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village.,Karey Kirkpatrick,"Clare Sera, Karey Kirkpatrick, Jonathon E. Stewart, Eyal Podell, Sergio Pablos","Channing Tatum, James Corden, Zendaya",80000000,214115531,"nepal, himalaya mountain range, musical, yeti, anthropomorphism, snow, creature, based on children's book, aftercreditsstinger, duringcreditsstinger, plane crash",Warner Animation Group,2.666,False
Unfriended: Dark Web,2018,2018-07-19,"['Horror', 'Thriller', 'Mystery']",92,"​When a 20-something finds a cache of hidden files on his new laptop, he and his friends are unwittingly thrust into the depths of the dark web. They soon discover someone has been watching their every move and will go to unimaginable lengths to protect the dark web.",Stephen Susco,Stephen Susco,"Colin Woodell, Betty Gabriel, Rebecca Rittenhouse",1000000,16000000,"webcam, sequel, lesbian relationship, hacking, computer screen, found footage, skype, game night, screenlife",BH Tilt,2.534,False
Acrimony,2018,2018-03-30,"['Drama', 'Thriller']",120,"Faithful wife Melinda, who is tired of standing by her devious husband Robert, is enraged when it becomes clear she has been betrayed. That's when she lost it, and now she cannot let it go.",Tyler Perry,Tyler Perry,"Taraji P. Henson, Lyriq Bent, Crystle Stewart",20000000,34800000,"first time, court, obsession, harassment, marriage, manipulation, revenge, inheritance, class differences, rage, anger, therapy, death of mother, resentment, torment, hospitalization, hostile, out of control, restraining order, mentally unstable, lies, black cinema, semi-narrative, woman scorned, sisters, crazy, taken advantage of, uncontrollable anger",Tyler Perry Studios,2.5325,False
Life of the Party,2018,2018-05-10,['Comedy'],105,"When her husband suddenly dumps her, longtime dedicated housewife Deanna turns regret into re-set by going back to college... landing in the same class and school as her daughter, who's not entirely sold on the idea. Plunging headlong into the campus experience, the increasingly outspoken Deanna – now Dee Rock – embraces freedom, fun, and frat boys on her own terms, finding her true self in a senior year no one ever expected.",Ben Falcone,"Melissa McCarthy, Ben Falcone","Melissa McCarthy, Matt Walsh, Molly Gordon",30000000,61700416,"daughter, college, housewife",On the Day,2.5018,False
Vice,2018,2018-12-25,"['Comedy', 'Drama', 'History']",132,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and Defense Secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",Adam McKay,Adam McKay,"Christian Bale, Amy Adams, Steve Carell",60000000,76100000,"washington dc, usa, the white house, politics, war on terror, biography, iraq war, 9/11, vice president, usa politics",Annapurna Pictures,2.4879,False
London Fields,2018,2018-09-20,"['Crime', 'Thriller']",118,"Clairvoyant femme fatale, Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men — one of whom she knows will be her murderer.",Mathew Cullen,"Martin Amis, Roberta Hanley","Amber Heard, Theo James, Jim Sturgess",8000000,487420,"based on novel or book, dystopia, femme fatale, fatal attraction, clairvoyant, neo-noir, love puzzle",Muse Productions,2.5291,False
Sherlock Gnomes,2018,2018-03-15,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure', 'Mystery']",86,Garden gnomes Gnomeo & Juliet recruit renown detective Sherlock Gnomes to investigate the mysterious disappearance of other garden ornaments.,John Stevenson,Ben Zazove,"Johnny Depp, Emily Blunt, James McAvoy",59000000,90497778,"villain, sequel, missing person, animate statue, sherlock holmes",Rocket Pictures,2.4861,False
The Happytime Murders,2018,2018-08-22,"['Action', 'Comedy', 'Crime']",90,"In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",Brian Henson,Todd Berger,"Melissa McCarthy, Bill Barretta, Leslie David Baker",40000000,27500000,"prostitute, fbi, adult humor, puppet, spoof, puppetry, drug lord, buddy cop",STXfilms,2.4591,False
Sanju,2018,2018-06-29,"['Drama', 'Comedy']",161,Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.,Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi","Ranbir Kapoor, Paresh Rawal, Vicky Kaushal",21918618,67414985,"artists' life, biography, sanjay dutt, bollywood",Rajkumar Hirani Films,2.436,False
T-34,2018,2018-12-27,"['Action', 'Drama', 'History', 'War']",139,"In 1944, a courageous group of Russian soldiers managed to escape from German captivity in a half-destroyed legendary T-34 tank. Those were the times of unforgettable bravery, fierce fighting, unbreakable love, and legendary miracles.",Alexey Sidorov,Alexey Sidorov,"Alexander Petrov, Victor Dobronravov, Irina Starshenbaum",8000000,36220872,"nazi, world war ii, tank, tank battle, concentration camp escape",Mars Media Entertainment,2.4395,False
High Life,2018,2018-09-26,"['Science Fiction', 'Drama', 'Mystery']",113,A father and his daughter struggle to survive in deep space where they live in isolation.,Claire Denis,"Claire Denis, Jean-Pol Fargeau, Geoff Cox","Robert Pattinson, Juliette Binoche, André 3000",8933400,2133033,"baby, space travel, black hole, survival, murder, infertility, convict, dangerous mission, woman director, deep space, conception, damned, spaceship, ambiguous, pretentious",ARTE France Cinéma,2.4102,False
The Debt Collector,2018,2018-06-05,"['Action', 'Comedy']",96,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",Jesse V. Johnson,"Jesse V. Johnson, Stu Small","Scott Adkins, Louis Mandylor, Michael Paré",3000000,28645,"bodyguard, fistfight, mafia, debt collector, martial artist, drugs, grifter, loan shark, bloodbath, rookie, enforcer, hand to hand combat, paratrooper, mob, tatami",Tarzana Productions,2.3744,False
Arctic,2018,2018-11-21,"['Drama', 'Adventure']",98,"A man stranded in the Arctic is finally about to receive his long awaited rescue. However, after a tragic accident, his opportunity is lost and he must then decide whether to remain in the relative safety of his camp or embark on a deadly trek through the unknown for potential salvation.",Joe Penna,"Joe Penna, Ryan Morrison","Mads Mikkelsen, Maria Thelma Smáradóttir, Tintrinai Thikhasuk",2000000,4100000,"fish, helicopter, fire, airplane wreck, polar bear, arctic polar circle region, survival, stranded, snow, injury, stapler, flare, ice fishing, frostbite, helicopter crash, distress signal, botched rescue, snow atmosphere, arctic survival, eating raw fish",Armory Films,2.3816,False
Just a Breath Away,2018,2018-04-04,"['Drama', 'Science Fiction', 'Thriller']",90,"When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.",Daniel Roby,"Guillaume Lemans, Jimmy Bemon, Mathieu Delozier","Romain Duris, Olga Kurylenko, Fantine Harduin",13749400,2842040,"paris, france, natural disaster, struggle for survival, mist, father daughter relationship",Quad Productions,2.3234,False
The Hurricane Heist,2018,2018-02-28,"['Action', 'Adventure', 'Crime', 'Thriller']",103,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,Rob Cohen,"Jeff Dixon, Scott Windhauser","Toby Kebbell, Maggie Grace, Ryan Kwanten",35000000,32517248,"hurricane, heist, treasury department, meteorologist, disaster movie",Lipsync Productions,2.3075,False
Mia and the White Lion,2018,2018-08-02,"['Adventure', 'Family', 'Drama']",98,A young girl from London moves to Africa with her parents where she befriends a lion cub.,Gilles de Maistre,"William Davies, Prune de Maistre","Daniah De Villiers, Mélanie Laurent, Langley Kirkwood",9600000,35487190,"south africa, lion cub, football (soccer) fan, runaway child, white lion, gift",M6 Films,2.3223,False
Taxi 5,2018,2018-04-07,"['Action', 'Comedy']",102,"A police officer who's transfered in the police of Marseille gets assigned to take down a group of Italian robbers who drive the powerfull Ferrari's with the older niece of Daniel, a terrible driver who gets the legendary white taxi.",Franck Gastambide,"Franck Gastambide, Stéphane Kazandjian, Malik Bentalha","Franck Gastambide, Malik Bentalha, Bernard Farcy",24625000,64497208,,ARP Sélection,2.3569,False
Anon,2018,2018-05-03,"['Science Fiction', 'Crime', 'Mystery', 'Thriller']",100,"Set in a near-future world where there is no privacy, ignorance or anonymity, our private memories are recorded and crime almost ceases to exist. In trying to solve a series of unsolved murders, Sal Frieland stumbles onto a young woman who appears to have subverted the system and disappeared. She has no identity, no history and no record. Sal realizes it may not be the end of crime but the beginning. Known only as 'The Girl', Sal must find her before he becomes the next victim.",Andrew Niccol,Andrew Niccol,"Clive Owen, Amanda Seyfried, Colm Feore",20000000,1197741,"detective, dystopia, serial killer, privacy, procedural, augmented reality",K5 Film,2.2678,False
God's Not Dead: A Light in Darkness,2018,2018-03-30,['Drama'],105,"Pastor Dave responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.",Michael Mason,"Michael Mason, Howard Klausner","David A.R. White, John Corbett, Jennifer Taylor",5700000,7414178,"arson, church, evangelical christianity, aftercreditsstinger, independent film",Pure Flix Entertainment,2.262,False
Prospect,2018,2018-10-02,['Science Fiction'],98,"A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive.","Zeek Earl, Christopher Caldwell","Christopher Caldwell, Zeek Earl","Sophie Thatcher, Pedro Pascal, Jay Duplass",4000000,22777,"survival, alien planet, space western, natural resources, father daughter relationship, giant forest, toxic atmosphere",Depth of Field,2.2401,False
Asterix: The Secret of the Magic Potion,2018,2018-05-12,"['Family', 'Animation', 'Comedy', 'Adventure']",85,"Following a fall during mistletoe picking, Druid Getafix decides that it is time to secure the future of the village. Accompanied by Asterix and Obelix, he undertakes to travel the Gallic world in search of a talented young druid to transmit the Secret of the Magic Potion.","Alexandre Astier, Louis Clichy",Alexandre Astier,"Christian Clavier, Guillaume Briat, Alex Lutz",36000000,74488686,"roman empire, based on comic",M6 Studio,2.2197,False
Unsane,2018,2018-03-22,"['Horror', 'Thriller']",98,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,Steven Soderbergh,"James Greer, Jonathan Bernstein","Claire Foy, Joshua Leonard, Jay Pharoah",1500000,14293601,"stalker, mental institution, fear, mother daughter relationship, shot on iphone",Fingerprint Releasing,2.2089,False
Winchester,2018,2018-02-02,"['Horror', 'Thriller']",100,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company.","Michael Spierig, Peter Spierig","Tom Vaughan, Michael Spierig, Peter Spierig","Jason Clarke, Helen Mirren, Sarah Snook",3500000,44019588,"drug addiction, haunted house, earthquake, based on true story, rifle, architecture, doctor, ghost, fictional biography, san jose, california",Imagination Design Works,2.1993,False
Life Itself,2018,2018-09-21,"['Drama', 'Romance']",118,"As a young New York couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",Dan Fogelman,Dan Fogelman,"Oscar Isaac, Olivia Wilde, Annette Bening",10000000,7997774,"pregnancy, family relationships, theme song, estranged couple, intercultural relationship, unreliable narrator, traumatic accident, traumatic childhood, expecting, psychiatric treatment",FilmNation Entertainment,2.1809,False
