title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
Prometheus,2012,2012-05-30,"['Science Fiction', 'Adventure', 'Mystery']",124,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",Ridley Scott,"Jon Spaihts, Damon Lindelof","Noomi Rapace, Michael Fassbender, Charlize Theron",130000000,403354469,"android, alien, space, creature, spin off, creation, emergency surgery, archaeological dig, stasis, god complex, cave drawing, prometheus, genetic mutation, origins of life, 2090s, objective",Dune Entertainment,9.586,False
Life of Pi,2012,2012-11-20,"['Adventure', 'Drama']",127,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",Ang Lee,David Magee,"Suraj Sharma, Irrfan Khan, Ayush Tandon",120000000,609016565,"sea, faith, loss of loved one, 1970s, zebra, survival, young boy, zookeeper, orangutan, teenage boy, hyena, meerkat, magic realism, cargo ship, lifeboat, injured animal, storm at sea, told in flashback, wreckage, loss of family, teenage protagonist, family loss, flying fish, vibrant",Fox 2000 Pictures,8.8969,False
Rise of the Guardians,2012,2012-11-21,"['Animation', 'Family', 'Fantasy']",97,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",Peter Ramsey,David Lindsay-Abaire,"Chris Pine, Alec Baldwin, Jude Law",145000000,306941670,"new york city, friendship, amnesia, santa claus, cartoon, villain, easter bunny, boogeyman, jack frost, duringcreditsstinger, christmas",DreamWorks Animation,8.9731,False
Journey 2: The Mysterious Island,2012,2012-01-19,"['Adventure', 'Action', 'Science Fiction']",94,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",Brad Peyton,"Mark Gunn, Brian Gunn","Dwayne Johnson, Josh Hutcherson, Vanessa Hudgens",79000000,355692760,"mission, giant lizard, missing person, duringcreditsstinger",Walden Media,7.5069,False
Project X,2012,2012-03-01,['Comedy'],88,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",Nima Nourizadeh,"Matt Drake, Michael Bacall","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown",12000000,102731865,"high school, birthday, birthday party, house party, teen movie, high school student, fake documentary",Silver Pictures,8.3932,False
Mirror Mirror,2012,2012-03-15,"['Adventure', 'Comedy', 'Family', 'Fantasy']",106,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",Tarsem Singh,"Jason Keller, Marc Klein","Lily Collins, Julia Roberts, Armie Hammer",85000000,183018522,"fairy tale, villainess, attempted murder, black magic, insecurity, snow kingdom, evil queen, enchantress, financial problem, evil plot, duringcreditsstinger, joyous, whimsical, hopeful",Misher Films,7.9765,False
Skyfall,2012,2012-10-24,"['Action', 'Adventure', 'Thriller']",143,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",Sam Mendes,"John Logan, Neal Purvis, Robert Wade","Daniel Craig, Judi Dench, Javier Bardem",200000000,1108594176,"spy, secret agent, sociopath, police impersonator, mi6, killer, art gallery, british secret service, uzi, booby trap, macao, komodo dragon, intense, vibrant",Metro-Goldwyn-Mayer,8.7591,False
Battleship,2012,2012-04-11,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",131,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him.",Peter Berg,"Erich Hoeber, Jon Hoeber","Taylor Kitsch, Alexander Skarsgård, Rihanna",209000000,303025485,"fight, u.s. navy, mind reading, hong kong, football (soccer), scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, aftercreditsstinger, naval warfare, uss missouri, based on board game",Bluegrass Films,7.4657,False
The Cabin in the Woods,2012,2012-04-12,"['Horror', 'Mystery']",95,A group of teens journey to a remote cabin in the woods where their fate is unknowingly controlled by technicians as part of a worldwide conspiracy where all horror movie clichés are revealed to be part of an elaborate sacrifice ritual.,Drew Goddard,"Drew Goddard, Joss Whedon","Kristen Connolly, Fran Kranz, Chris Hemsworth",30000000,71038838,"giant snake, school party, motorcycle crash, abandoned house, woods, marijuana, cabin, apocalypse, zombie, werewolf, creature, cabin in the woods, video wall, speaker phone, young adult, college student, 林中小屋, teen scream",Lionsgate,7.8781,False
21 Jump Street,2012,2012-03-14,"['Action', 'Comedy', 'Crime']",109,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.","Phil Lord, Christopher Miller",Michael Bacall,"Jonah Hill, Channing Tatum, Brie Larson",42000000,201585328,"drug dealer, high school, investigation, nerd, male friendship, parody, jock, crude humor, undercover cop, high school student, police academy, buddy cop, buddy comedy, duringcreditsstinger, high school rivalry, bicycle cop, based on tv series, cops, party drugs, high school classmates",Columbia Pictures,8.4201,False
